,method,region,quantile,lb,ub
396,opt,OFF_COAST_OF_NORTHERN_CA,0.95,0.0,0.10393841109877489
397,opt,OFF_COAST_OF_NORTHERN_CA,0.95,0.0,0.09278367371717228
398,opt,OFF_COAST_OF_NORTHERN_CA,0.95,0.0,0.12159871305817174
399,opt,OFF_COAST_OF_NORTHERN_CA,0.95,0.0,0.11333515992820964
400,opt,OFF_COAST_OF_NORTHERN_CA,0.99,0.0,0.10856612622479542
401,opt,OFF_COAST_OF_NORTHERN_CA,0.99,0.0,0.1288229574620114
402,opt,OFF_COAST_OF_NORTHERN_CA,0.99,0.0,0.1180175823630409
403,opt,OFF_COAST_OF_NORTHERN_CA,0.99,0.0,0.11570905986625714
404,opt,OFF_COAST_OF_NORTHERN_CA,0.99,0.0,0.09601963539751625
405,opt,OFF_COAST_OF_NORTHERN_CA,0.99,0.0,0.08142130705925783
406,opt,OFF_COAST_OF_NORTHERN_CA,0.99,0.0,0.09621543815060368
