Data Source,nData,percentageLHS,Upper Bound,True Value,Repetition Index
lognorm,500,0.9,0.005824098278397998,0.005,186
lognorm,500,0.9,0.005218904478112239,0.005,187
lognorm,500,0.9,0.005309954492414231,0.005,188
lognorm,500,0.9,0.005421067506234122,0.005,189
lognorm,500,0.9,0.004690097520408998,0.005,190
lognorm,500,0.9,0.00014325862879666044,0.005,191
lognorm,500,0.9,0.005155629795860181,0.005,192
lognorm,500,0.9,0.005460337668738039,0.005,193
lognorm,500,0.9,0.005280377516384573,0.005,194
lognorm,500,0.9,0.00773130598604568,0.005,195
lognorm,500,0.9,0.005207951513130326,0.005,196
lognorm,500,0.9,0.005674716218772012,0.005,197
lognorm,500,0.9,0.005613186867965772,0.005,198
lognorm,500,0.9,0.004832971321727126,0.005,199
pareto,500,0.9,0.00464878379063038,0.005,0
pareto,500,0.9,0.005527978180578201,0.005,1
pareto,500,0.9,0.006125451052357435,0.005,2
pareto,500,0.9,0.005278539238331274,0.005,3
pareto,500,0.9,0.0046120355947070575,0.005,4
pareto,500,0.9,0.0050425274863836805,0.005,5
pareto,500,0.9,0.006275748511295315,0.005,6
pareto,500,0.9,0.0011772953811712836,0.005,7
pareto,500,0.9,0.005442260755920695,0.005,8
pareto,500,0.9,0.005349180593607483,0.005,9
pareto,500,0.9,0.005097627499976706,0.005,10
pareto,500,0.9,0.005151034836480498,0.005,11
pareto,500,0.9,0.005030274800353014,0.005,12
pareto,500,0.9,0.004810967738707453,0.005,13
pareto,500,0.9,0.005669268809015751,0.005,14
pareto,500,0.9,0.0053248979427019515,0.005,15
pareto,500,0.9,0.00582892458858303,0.005,16
pareto,500,0.9,0.007993822307252535,0.005,17
pareto,500,0.9,0.005768117221751988,0.005,18
pareto,500,0.9,0.00504943586108831,0.005,19
pareto,500,0.9,0.005550805041951712,0.005,20
pareto,500,0.9,0.005850031651031007,0.005,21
pareto,500,0.9,0.005629746348158216,0.005,22
pareto,500,0.9,0.005406399845575671,0.005,23
pareto,500,0.9,0.00037462173008660093,0.005,24
pareto,500,0.9,0.005614099287797127,0.005,25
pareto,500,0.9,0.004783421879571764,0.005,26
pareto,500,0.9,0.005552979910877387,0.005,27
pareto,500,0.9,0.00557802324451712,0.005,28
pareto,500,0.9,0.005693710869169158,0.005,29
pareto,500,0.9,0.0054837151125385186,0.005,30
pareto,500,0.9,0.005335415773341442,0.005,31
pareto,500,0.9,0.0062412343174722724,0.005,32
pareto,500,0.9,0.005851814375981568,0.005,33
pareto,500,0.9,0.00593226167692708,0.005,34
pareto,500,0.9,0.005400816987282908,0.005,35
pareto,500,0.9,0.0057543523454563076,0.005,36
pareto,500,0.9,0.0052629070431473995,0.005,37
pareto,500,0.9,0.005634864397841097,0.005,38
pareto,500,0.9,0.005484843096675016,0.005,39
pareto,500,0.9,0.005032896118759436,0.005,40
pareto,500,0.9,0.00538747027469305,0.005,41
pareto,500,0.9,0.005120518750642584,0.005,42
pareto,500,0.9,0.0020328380223034828,0.005,43
pareto,500,0.9,8.318459641194766e-05,0.005,44
pareto,500,0.9,0.00484372382577672,0.005,45
pareto,500,0.9,0.0055801481475634485,0.005,46
pareto,500,0.9,0.00550186244874791,0.005,47
pareto,500,0.9,0.0046791594140893735,0.005,48
pareto,500,0.9,0.0056515212565734895,0.005,49
pareto,500,0.9,0.0061407142887154875,0.005,50
pareto,500,0.9,0.005439505814823511,0.005,51
pareto,500,0.9,0.00012014193988290528,0.005,52
pareto,500,0.9,0.005373823394931348,0.005,53
pareto,500,0.9,0.005466108448769403,0.005,54
pareto,500,0.9,5.36115147173655e-05,0.005,55
pareto,500,0.9,0.00566128955708061,0.005,56
